year,reporter,trade_flow,partner,hs_code,commodity,unit_type,quantity,net_weight,fob_value
2023,Brazil,exported_to,Paraguay,150790,"Vegetable oils; soya-bean oil and its fractions, other than crude, whether or not refined, but not chemically modified",kg,903000.0,903673.0,1040805
2023,Brazil,exported_to,Paraguay,151190,"Vegetable oils; palm oil and its fractions, other than crude, whether or not refined, but not chemically modified",kg,48254.0,48254.0,87733
2023,Brazil,exported_to,Paraguay,151229,"Vegetable oils; cotton-seed oil and its fractions, other than crude, whether or not refined, but not chemically modified",kg,180.0,180.0,720
2023,Brazil,exported_to,Paraguay,151311,"Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified",kg,144.0,144.0,926
2023,Brazil,exported_to,Paraguay,151319,"Vegetable oils; coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified",kg,29185.0,29185.0,243903
2023,Brazil,exported_to,Paraguay,151329,"Vegetable oils; palm kernel or babassu oil and their fractions, other than crude, whether or not refined, but not chemically modified",kg,18803.0,18803.0,35724
2023,Brazil,exported_to,Paraguay,151419,"Vegetable oils; low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified",kg,1832.0,1832.0,11700
2023,Brazil,exported_to,Paraguay,151511,"Vegetable oils; linseed oil and its fractions, crude, not chemically modified",kg,53.0,53.0,429
2023,Brazil,exported_to,Paraguay,151519,"Vegetable oils; linseed oil and its fractions, other than crude, whether or not refined, but not chemically modified",kg,297.0,297.0,1518
2023,Brazil,exported_to,Paraguay,151521,"Vegetable oils; maize (corn) oil and its fractions, crude, not chemically modified",kg,9073100.0,9073100.0,8416337
2023,Brazil,exported_to,Paraguay,151529,"Vegetable oils; maize (corn) oil and its fractions, other than crude, whether or not refined, but not chemically modified",kg,580.0,580.0,1275
2023,Brazil,exported_to,Paraguay,151530,"Vegetable oils; castor oil and its fractions, whether or not refined, but not chemically modified",kg,5307.0,5307.0,30479
2023,Brazil,exported_to,Paraguay,151550,"Vegetable oils; sesame oil and its fractions, whether or not refined, but not chemically modified",kg,31.0,31.0,400
2023,Brazil,exported_to,Paraguay,151590,"Fixed vegetable fats and oils and their fractions n.e.c. in heading 1515; other than linseed, maize (corn), castor, sesame, microbial oils, whether or not refined, but not chemically modified",kg,7104.0,7104.0,26687
