year,reporter,trade_flow,partner,hs_code,commodity,unit_type,quantity,net_weight,cif_value,fob_value
2023,Paraguay,imported_from,Brazil,853690,"Electrical apparatus; n.e.c. in heading no. 8536, for switching or protecting electrical circuits, for a voltage not exceeding 1000 volts",kg,155165.338,155165.338,3182543.818,3066138.5
2023,Paraguay,imported_from,Brazil,853710,"Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage not exceeding 1000 volts",kg,103838.214,103838.214,8116223.45,7991915.3
2023,Paraguay,imported_from,Brazil,853720,"Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage exceeding 1000 volts",kg,112142.5,112142.5,4852495.18,4775475.8
2023,Paraguay,imported_from,Brazil,853810,"Electrical apparatus; parts (e.g. boards, panels, consoles, desks, cabinets, other bases), for goods of heading no. 8537, not equipped with their apparatus",kg,165890.82,165890.82,820187.65,766063.26
2023,Paraguay,imported_from,Brazil,853890,"Electrical apparatus; parts suitable for use solely or principally with the apparatus of heading no. 8535, 8536 or 8537",kg,79398.38,79398.38,2911692.46,2765672.56
2023,Paraguay,imported_from,Brazil,853910,Lamps; sealed beam units,,0.0,105.85,1536.08,1430.39
2023,Paraguay,imported_from,Brazil,853921,"Lamps; filament, (excluding ultra-violet or infra-red), tungsten halogen",,0.0,1874.141,30837.31,29124.13
2023,Paraguay,imported_from,Brazil,853922,"Lamps; filament, (excluding ultra-violet or infra-red), of a power not exceeding 200W and for a voltage exceeding 100 volts, other than tungsten halogen",units,820.254,45.21,505.34,340.66
2023,Paraguay,imported_from,Brazil,853929,"Lamps; filament, (excluding ultra-violet or infra-red), n.e.c. in item no. 8539.2",,0.0,248.935,13876.39,13097.34
2023,Paraguay,imported_from,Brazil,853931,"Lamps; discharge, (excluding ultra-violet), fluorescent, hot cathode",units,534.679,4.88,710.24,684.55
2023,Paraguay,imported_from,Brazil,853932,"Lamps; discharge, (excluding ultra-violet), mercury or sodium vapour lamps, metal halide lamps",,0.0,4177.39,61877.89,60999.33
2023,Paraguay,imported_from,Brazil,853939,"Lamps; discharge, (excluding ultra-violet, excluding fluorescent, hot cathode)",,0.0,10.0,179.03,176.69
2023,Paraguay,imported_from,Brazil,853941,Lamps; arc-lamps,,0.0,13.98,2342.68,1746.16
2023,Paraguay,imported_from,Brazil,853949,"Lamps; ultra-violet or infra-red lamps, (excluding arc-lamps)",,0.0,593.27,26165.07,24956.67
2023,Paraguay,imported_from,Brazil,853951,"Lamps; light-emitting diode (LED) light sources, light-emitting diode (LED) modules",,0.0,191.324,7631.64,6930.01
2023,Paraguay,imported_from,Brazil,853952,"Lamps; light-emitting diode (LED) light sources, light-emitting diode (LED) lamps",,0.0,47714.59,376611.11,364670.48
2023,Paraguay,imported_from,Brazil,853990,Lamps; parts of the lamps of heading no. 8539,kg,36.7,36.7,1995.84,1961.7
2023,Paraguay,imported_from,Brazil,854020,"Tubes; television camera tubes, image converters and intensifiers, other photo-cathode tubes",units,3.789,46.0,5444.88,5267.36
2023,Paraguay,imported_from,Brazil,854040,"Tubes; data/graphic display tubes, monochrome; data/graphic display tubes, colour, with a phosphor dot screen pitch smaller than 0.4mm",,0.0,30.0,489.28,482.5
2023,Paraguay,imported_from,Brazil,854089,Valves and tubes; n.e.c. in heading no. 8540,,0.0,12.0,316.08,298.0
