reporter,year,hs_code,applied_tariff,commodity
Paraguay,2021,30313,10.0,"Frozen, Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
Paraguay,2021,30314,10.0,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
Paraguay,2021,30319,10.0,"Frozen salmonidae (excl. trout and Pacific, Atlantic and Danube salmon)"
Paraguay,2021,30323,10.0,"Frozen tilapia ""Oreochromis spp."""
Paraguay,2021,30324,10.0,"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
Paraguay,2021,30325,10.0,"Frozen carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."""
Paraguay,2021,30326,10.0,"Frozen eels ""Anguilla spp."""
Paraguay,2021,30329,10.0,"Frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.)"
Paraguay,2021,30331,10.0,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus hippoglossus"" and Pacific halibut ""Hippoglossus stenolepis"""
Paraguay,2021,30332,10.0,"Frozen plaice ""Pleuronectes platessa"""
Paraguay,2021,30333,10.0,"Frozen sole ""Solea spp."""
Paraguay,2021,30334,10.0,"Frozen turbot ""Psetta maxima"""
Paraguay,2021,30339,10.0,"Frozen flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"" (excl. halibut, plaice, sole and turbot)"
Paraguay,2021,30341,10.0,"Frozen albacore or longfinned tunas ""Thunnus alalunga"""
Paraguay,2021,30342,10.0,"Frozen yellowfin tunas ""Thunnus albacares"""
Paraguay,2021,30343,10.0,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis"""
Paraguay,2021,30344,10.0,"Frozen bigeye tunas ""Thunnus obesus"""
Paraguay,2021,30345,10.0,"Frozen Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
Paraguay,2021,30346,10.0,"Frozen Southern bluefin tunas ""Thunnus maccoyii"""
Paraguay,2021,30349,10.0,"Frozen tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)"
Paraguay,2021,30351,10.0,"Frozen herrings ""Clupea harengus, Clupea pallasii"""
