reporter,year,hs_code,applied_tariff,commodity
Brazil,2023,30239,8.0,"Fresh or chilled tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)"
Brazil,2023,30241,8.0,"Fresh or chilled herring ""Clupea harengus, clupea pallasii"""
Brazil,2023,30242,8.0,"Fresh or chilled anchovies ""Engraulis spp."""
Brazil,2023,30243,8.0,"Fresh or chilled sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling or sprats ""Sprattus sprattus"""
Brazil,2023,30244,8.0,"Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"""
Brazil,2023,30245,8.0,"Fresh or chilled jack and horse mackerel ""Trachurus spp."""
Brazil,2023,30246,8.0,"Fresh or chilled cobia ""Rachycentron canadum"""
Brazil,2023,30247,8.0,"Fresh or chilled swordfish ""Xiphias gladius"""
Brazil,2023,30249,8.0,"Fresh or chilled Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, crevalles ""Caranx spp."", silver pomfrets ""Pampus spp."", Pacific saury ""Cololabis saira"", scads ""Decapterus spp."", capelin ""Mallotus villosus"", Kawakawa ""Euthynnus affinis"", bonitos ""Sarda spp."", marlins, sailfishes and spearfish ""Istiophoridae"""
Brazil,2023,30251,0.0,"Fresh or chilled cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"""
Brazil,2023,30252,8.0,"Fresh or chilled haddock ""Melanogrammus aeglefinus"""
Brazil,2023,30253,8.0,"Fresh or chilled coalfish ""Pollachius virens"""
Brazil,2023,30254,8.0,"Fresh or chilled hake ""Merluccius spp., Urophycis spp."""
Brazil,2023,30255,8.0,"Fresh or chilled Alaska pollack ""Theragra chalcogramma"""
Brazil,2023,30256,8.0,"Fresh or chilled blue whiting ""Micromesistius poutassou, Micromesistius australis"""
Brazil,2023,30259,8.0,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack and blue whitings)"
Brazil,2023,30271,8.0,"Fresh or chilled tilapia ""Oreochromis spp."""
