reporter,hs_code,bound_tariff,commodity
Brazil,30622,35.0,"Lobsters ""Homarus spp."", whether in shell or not, live, dried, salted or in brine, incl. lobsters in shell, cooked by steaming or by boiling in water"
Brazil,30623,35.0,"Shrimps and prawns, whether in shell or not, live, dried, salted or in brine, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water"
Brazil,30624,35.0,"Crabs, whether in shell or not, live, dried, salted or in brine, incl. crabs in shell, cooked by steaming or by boiling in water"
Brazil,30629,35.0,"Crustaceans, fit for human consumption, whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. crustaceans in shell, cooked beforehand by steaming or by boiling in water (excl. rock lobster and other sea crawfish, lobsters, shrimps, prawns and crabs); flours, meals and pellets of crustaceans, fit for human consumption"
Brazil,30710,35.0,"Oysters, live, fresh, chilled, frozen, dried, salted or in brine"
Brazil,30721,35.0,"Live, fresh or chilled scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, with or without shell"
Brazil,30729,35.0,"Scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, frozen, dried, salted or in brine, with or without shell"
Brazil,30731,35.0,"Live, fresh or chilled mussels ""Mytilus spp., Perna spp."", with or without shell"
Brazil,30739,35.0,"Mussels ""Mytilus spp., Perna spp."", frozen, dried, salted or in brine, with or without shell"
Brazil,30741,35.0,"Live, fresh or chilled cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."" and squid ""Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp."", with or without shell"
Brazil,30749,35.0,"Cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."" and squid ""Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp."", frozen, dried, salted or in brine, with or without shell"
Brazil,30751,35.0,"Live, fresh or chilled octopus ""Octopus spp."", with or without shell"
Brazil,30759,35.0,"Octopus ""Octopus spp."", frozen, dried, salted or in brine, with or without shell"
Brazil,30760,35.0,"Snails, live, fresh, chilled, frozen, salted, dried or in brine, with or without shell (excl. sea snails)"
Brazil,30791,35.0,"Live, fresh or chilled molluscs, fit for human consumption, whether in shell or not, incl. sea urchins, sea cucumbers and other aquatic invertebrates (other than crustaceans); fresh or chilled flours, meals and pellets of aquatic invertebrates (other than crustaceans), fit for human consumption (excl. oysters, scallops, queen scallops, mussels, cuttlefish, squids, octopus and snails other than sea snails)"
Brazil,30799,35.0,"Molluscs, fit for human consumption, whether in shell or not, frozen, dried, salted or in brine, incl. sea urchins, sea cucumbers and other aquatic invertebrates (other than crustaceans); flours, meals and pellets of aquatic invertebrates (other than crustaceans), fit for human consumption (excl. chilled, and oysters, scallops, queen scallops, mussels, cuttlefish, squids, octopus and snails other than sea snails)"
Brazil,40110,55.0,"Milk and cream of a fat content by weight of <= 1%, not concentrated nor containing added sugar or other sweetening matter"
Brazil,40120,55.0,"Milk and cream of a fat content by weight of > 1% but <= 6%, not concentrated nor containing added sugar or other sweetening matter"
Brazil,40130,55.0,"Milk and cream of a fat content by weight of > 6%, not concentrated nor containing added sugar or other sweetening matter"
Brazil,40210,47.166666666666664,"Milk and cream in solid forms, of a fat content by weight of <= 1,5%"
Brazil,40221,47.166666666666664,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened"
Brazil,40229,55.0,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, sweetened"
Brazil,40291,55.0,"Milk and cream, concentrated but unsweetened (excl. in solid forms)"
Brazil,40299,55.0,"Milk and cream, concentrated and sweetened (excl. in solid forms)"
Brazil,40310,35.0,"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa"
Brazil,40390,35.0,"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa (excl. yogurt)"
Brazil,40410,35.0,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter"
Brazil,40490,35.0,"Products consisting of natural milk constituents, whether or not sweetened, n.e.s."
Brazil,40510,55.0,Butter (excl. dehydrated butter and ghee)
Brazil,40520,55.0,"Dairy spreads of a fat content, by weight, of >= 39% but < 80%"
Brazil,40590,55.0,"Fats and oils derived from milk, and dehydrated butter and ghee (excl. natural butter, recombined butter and whey butter)"
Brazil,40610,55.0,"Fresh cheese, i.e. unripened or uncured cheese, incl. whey cheese, and curd"
Brazil,40620,35.0,Grated or powdered cheese
Brazil,40630,55.0,"Processed cheese, not grated or powdered"
Brazil,40640,55.0,Blue-veined cheese
Brazil,40690,47.56666666666667,"Cheese (excl. fresh cheese, incl. whey cheese, not fermented, curd, processed cheese, blue-veined cheese, and grated or powdered cheese)"
Brazil,40700,11.666666666666666,"Birds' eggs, in shell, fresh, preserved or cooked"
Brazil,40811,35.0,"Dried egg yolks, whether or not sweetened"
Brazil,40819,35.0,"Egg yolks, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excl. dried)"
Brazil,40891,35.0,"Dried birds' eggs, not in shell, whether or not sweetened (excl. egg yolks)"
Brazil,40899,35.0,"Birds' eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excl. dried)"
Brazil,40900,55.0,Natural honey
Brazil,41000,35.0,"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s."
Brazil,50100,35.0,"Human hair, unworked, whether or not washed or scoured; waste of human hair"
Brazil,50210,35.0,"Pigs', hogs' or boars' bristles and waste of such bristles"
Brazil,50290,35.0,Badger and other brush making hair and waste thereof
Brazil,50300,35.0,"Horsehair and horsehair waste, whether or not put up as a layer, with or without supporting material"
Brazil,50400,29.916666666666668,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked"
Brazil,50510,35.0,"Feathers used for stuffing and down, not further worked than cleaned, disinfected or treated for preservation"
Brazil,50590,35.0,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, whether or not with trimmed edges, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers (excl. feathers used for stuffing and down)"
Brazil,50610,35.0,Ossein and bones treated with acid
Brazil,50690,35.0,"Bones and horn-cores and their powder and waste, unworked, defatted, degelatinised or simply prepared (excl. ossein and bones treated with acid and cut to shape)"
Brazil,50710,35.0,"Ivory, unworked or simply prepared, its powder and waste (excl. cut to shape)"
Brazil,50790,35.0,"Tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared, their powder and waste (excl. cut to shape and ivory)"
Brazil,50800,35.0,"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder and waste thereof, unworked or simply prepared but not otherwise worked or cut to shape"
Brazil,50900,35.0,Natural sponges of animal origin
Brazil,51000,35.0,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved"
Brazil,51110,17.5,Bovine semen
Brazil,51191,35.0,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption"
Brazil,51199,31.5,"Products of animal origin, n.e.s., dead animals, unfit for human consumption (excl. fish, crustaceans, molluscs or other aquatic invertebrates)"
Brazil,60110,11.666666666666666,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant (excl. those used for human consumption and chicory plants and roots)"
Brazil,60120,11.666666666666666,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots (excl. those used for human consumption and chicory roots of the variety cichorium intybus sativum)"
Brazil,60210,35.0,Unrooted cuttings and slips
Brazil,60220,35.0,"Edible fruit or nut trees, shrubs and bushes, whether or not grafted"
Brazil,60230,35.0,"Rhododendrons and azaleas, grafted or not"
Brazil,60240,35.0,"Roses, whether or not grafted"
Brazil,60290,35.0,"Live plants, incl. their roots, and mushroom spawn (excl. bulbs, tubers, tuberous roots, corms, crowns and rhizomes, incl. chicory plants and roots, unrooted cuttings and slips, fruit and nut trees, rhododendrons, azaleas and roses)"
Brazil,60310,35.0,"Fresh cut flowers and flower buds, for bouquets or for ornamental purposes"
Brazil,60390,35.0,"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, for bouquets or for ornamental purposes"
Brazil,60410,35.0,"Mosses and lichens for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared"
Brazil,60491,35.0,"Foliage, branches and other parts of plants, without flowers or flower buds, grasses, fresh, for bouquets or ornamental purposes"
Brazil,60499,35.0,"Foliage, branches and other parts of plants, without flowers or flower buds, grasses, for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared"
Brazil,70110,17.5,Seed potatoes
Brazil,70190,35.0,Fresh or chilled potatoes (excl. seed)
Brazil,70200,35.0,"Tomatoes, fresh or chilled"
Brazil,70310,35.0,Fresh or chilled onions and shallots
Brazil,70320,35.0,"Garlic, fresh or chilled"
Brazil,70390,35.0,"Leeks and other alliaceous vegetables, fresh or chilled (excl. onions, shallots and garlic)"
Brazil,70410,35.0,Fresh or chilled cauliflowers and headed broccoli
Brazil,70420,35.0,"Brussels sprouts, fresh or chilled"
Brazil,70490,35.0,"Fresh or chilled cabbages, kohlrabi, kale and similar edible brassicas (excl. cauliflowers, headed broccoli and Brussels sprouts)"
Brazil,70511,35.0,Fresh or chilled cabbage lettuce
Brazil,70519,35.0,Fresh or chilled lettuce (excl. cabbage lettuce)
Brazil,70521,35.0,Fresh or chilled witloof chicory
Brazil,70529,35.0,Fresh or chilled chicory (excl. witloof chicory)
Brazil,70610,35.0,Fresh or chilled carrots and turnips
Brazil,70690,35.0,"Fresh or chilled salad beetroot, salsify, celeriac, radishes and similar edible roots (excl. carrots and turnips)"
Brazil,70700,35.0,"Cucumbers and gherkins, fresh or chilled"
Brazil,70810,35.0,"Fresh or chilled peas ""Pisum sativum"", shelled or unshelled"
Brazil,70820,35.0,"Fresh or chilled beans ""Vigna spp., Phaseolus spp."", shelled or unshelled"
